Gene_name	p_value	fold_change
XPO5	0.00517662563410415	-0.58686775
PARP14	0.00527722520428366	0.73726975
DTX3L	0.00568283167366878	1.21344925
ALYREF	0.00582855061073005	-0.5789886
ANKRD52	0.00587878263051934	0.33572725
GBP2	0.0059463109952793	1.08200325
ILF2	0.00598797650424227	-0.54517325
IFIT5	0.00614712736505316	0.61585375
SRPK1	0.00619404568238737	-0.5605613
LARP1	0.00633968180645087	-0.30993465
COPS5	0.00637759091972578	0.3486397
ENY2	0.00642337483592193	-0.54766275
EIF2S2	0.00649104231616478	0.28639525
ZC3H4	0.00679467832997333	-0.36409815
CELF2	0.0068626542962755	0.85930725
ARL6IP5	0.00686769091919781	0.45368325
AAAS	0.00727344182690281	-0.28927475
PSMB8	0.00761274246202069	0.70055325
SUPT5H	0.00839277206351669	-0.44004425
GFM1	0.00862626300791701	0.23274275
LYPLAL1	0.00878144661396235	0.31686175
SAMHD1	0.00897821567713042	0.66407825
SPATA5	0.00914446709588194	0.40322375
POLRMT	0.00959242801475328	-0.86043175
MAGOHB	0.00963053066289511	-0.20710275
SERPINB8	0.00963783830537348	0.63637225
PML	0.00994380452614082	0.42428325
ERP44	0.00996359438297571	0.23052275
PDIA3	0.0103545851654936	0.56430925
ZCCHC3	0.0109553013480536	-0.71863871
SPCS3	0.0112156073489385	0.1955071
SON	0.0114618624114256	-0.37593545
PSMB6	0.0114848297693597	-0.68755162
CDK5RAP3	0.0120593781866155	0.41454625
FAM3C	0.012454888606466	0.31516975
PRMT1	0.0125790074025117	-0.32531775
RBM4	0.0131509028588409	-0.37238275
NCOR2	0.0131636062769667	-0.54174975
UFL1	0.0134238166413517	0.36957575
RBBP4	0.0134464447008557	-0.31900825
DCUN1D1	0.0134795495508406	0.10789325
UBE2L6	0.0135289031796928	0.77427125
MACROD1	0.0135867473972334	0.48766525
PRCC	0.0138160843758554	-0.36157725
KATNAL2	0.0138764348948745	0.19164825
CPSF2	0.0140254375219186	0.15017085
CLPB	0.0146019623657856	0.12308775
HMGA2	0.0150912019052784	-1.45379775
UBA6	0.0163534137018912	0.24409185
CALU	0.0164699083338769	0.34074725
TRIM25	0.0168279504102724	0.23106665
TOP2A	0.0170844713282836	-0.68320075
UBA2	0.0171876592538131	-0.23467025
LSM14B	0.0184255327135091	-0.54734175
ADNP	0.0188940895825267	-0.50737925
UBAP2L	0.0190591138175703	-0.24268035
RBMX	0.0197524915634044	-0.28167605
VKORC1	0.0205032416199072	0.38828775
RWDD4	0.0209189531403585	0.37935825
JMJD6	0.0212428786051636	-0.55369175
PPM1G	0.0213609933109478	-0.37633375
SPCS1	0.0222475003609993	0.21527825
HAT1	0.0224741769139963	-0.58845075
DDRGK1	0.0225726036604294	0.32074125
WNK2	0.0229073015359044	0.61654025
ZPR1	0.0230528570967871	0.14010725
NAA25	0.0232827547319267	-0.24201025
YTHDF3	0.0239352213529868	-0.41484725
AATF	0.0243873633517129	-0.55414725
HSF1	0.0253125296522981	-0.32615675
LTV1	0.0256119326848551	-0.3946322
UBA7	0.0263342472476045	0.60391325
RPRD2	0.0265048649375187	-0.30325365
PRRC2A	0.0266604451189437	-0.14140175
NFKBIE	0.0273936736503204	0.31888925
RBM12	0.0280822620070046	-0.27815645
ATRX	0.0290250245456963	-0.44330945
SRSF9	0.0292105483675087	-0.35882575
RNF213	0.0293241919055796	0.41867825
GABPA	0.0298556587235213	-0.4199228
CBX5	0.0300242012091303	-0.31703125
C11orf58	0.0301310036372943	-0.34715375
CDK17	0.0306537911321908	0.44885325
RPL7L1	0.0323275445346939	-0.44699975
GTF2F2	0.0323992886327249	-0.31115075
NDC1	0.0334316310297864	-0.34438525
PNO1	0.0350451395026442	-0.58135475
SF3A2	0.0362348952239651	-0.28057625
TDRD7	0.036450266878882	-0.61670775
NAMPT	0.0367548744189805	0.09686175
STAT2	0.0373595305348279	0.37850975
KDM3B	0.0377166684796195	-0.51453855
CA8	0.0379726457976161	0.14650825
SMARCC1	0.0384260987541078	-0.32875475
RRP1B	0.0384335763557316	-0.57926075
UTP18	0.04092333675567	0.25491425
NBN	0.0409368593272003	-0.57828625
PABPN1	0.0413102547998061	-0.19133075
DDX51	0.0416634361783296	-0.56262975
HNRNPA0	0.0421515569750416	-0.22764565
DERL1	0.0424678319579299	0.27538625
HDDC3	0.0425814246903765	0.24327425
CD3EAP	0.0428035172967245	-0.64636335
NTMT1	0.0429025553942871	-0.59400165
CHAF1B	0.0433155123110977	0.32604675
PYCR1	0.0435133223156647	-0.77153425
MED17	0.0441140265108506	-0.49943075
RNASET2	0.044228319887412	0.62406725
IGF2BP2	0.0458098208784803	-0.62678925
UBE3C	0.0459737816523889	0.163427235
PDE12	0.0461059691532359	0.31281725
ATXN2	0.0461130451822944	-0.35464735
FKBP11	0.0465584742193643	0.81923725
UBE2O	0.0466724979033549	-0.17558365
SNRPA1	0.0469504398619434	-0.33085335
BRD2	0.0469676423526805	-0.47427625
MSTO1	0.0469697746666867	-0.42604265
EIF2AK2	0.0472317326394582	0.12697225
UBFD1	0.0481041326455287	-0.63928325
SMARCAD1	0.0483399854665863	0.07545425
RTCA	0.0489211143569222	0.21892685
APOBEC3G	0.0506238148668462	0.58942875
RPL22	0.0508103155897878	-0.39434525
PTBP3	0.0509491251269555	0.25999225
HM13	0.0510128312707875	0.22421175
HDHD2	0.0516994919883658	0.48013925
NELFCD	0.0527715639154966	-0.42865675
PSMC6	0.0533276009048159	0.0252543
ERP29	0.0537724515689024	0.19689024
BYSL	0.0542558239897982	-0.19241925
RPL34	0.0543619851033836	-0.16181745
ABCF1	0.0544825622858317	-0.2091328
MX2	0.054745468047994	0.72750525
KHDRBS1	0.0547564781319591	-0.5630069
PSMD8	0.0553176476436984	0.02079155
PSMA2	0.0562107182939429	0.12380725
FARSB	0.0567938682793337	0.06973215
ITCH	0.0575019263834586	0.16394325
MPG	0.0579684034631883	-0.2621586
RPRD1B	0.0582257995157919	-0.44535975
PSMB7	0.058261894693329	-0.30924265
UBXN6	0.0582696945004509	0.37587875
YBX1	0.0587143113585791	-0.13625775
DDX42	0.0587666959272651	-0.35984575
SPCS2	0.0594612279888354	0.219311935
DNAJA3	0.0602291147213418	0.0884086
TUBA1A	0.0602526924046676	-0.29747725
IFIT3	0.061189968585759	0.54376825
NUP35	0.0616950355250495	-0.36460495
SLC43A3	0.0624352337073892	0.17035075
GCC1	0.0625383174024862	0.46993925
SRPRB	0.0627235974571322	0.146288985
COMMD4	0.0639917435121635	0.0857242500000001
PNPT1	0.064578809770251	0.05468125
NCOA5	0.065172908515807	-0.4888165
MSRA	0.0653200683556675	0.12409625
CCDC22	0.0666627651792826	0.20998875
TBCE	0.0670109910894522	-0.42095125
USP22	0.0673967924005318	-0.32712175
PLSCR1	0.0677706927067084	0.87487125
URB1	0.0678636495926001	-0.4402689
PNN	0.0681383360548127	-0.67662249
CCT4	0.0688677963822961	0.16633125
PABPC4	0.0693302994865728	-0.33384525
RBPMS	0.0698798844033734	-0.81419625
UBR5	0.0703750403522164	-0.35675625
NONO	0.0704240753548974	-0.2407531
CBX8	0.0704432556271818	-0.82698375
TMX1	0.0721394193051448	0.29545025
OSTC	0.0737683395889442	0.18889475
ADPRHL2	0.0737786768505306	0.15920725
PSMD9	0.0745850900438585	0.29088445
HINT3	0.0753223190572027	0.49489725
RBFOX2	0.0770454459367024	-0.29085775
RBFOX1	0.0770454459367024	-0.29085775
TOP2B	0.0773255378431024	-0.4045991
IRF2BP1	0.0776128479190154	-0.22812668
WDR74	0.0781166579019009	0.18102725
PSMD10	0.0783823862347102	-0.00372975
HELZ	0.0784064757658881	-0.26098475
EIF4G1	0.0789953095922312	0.10492125
CDC20	0.0790589599551961	0.14289075
ASCC3	0.0799293397793468	0.29486925
FAM162A	0.081165453876287	0.47590525
SNRPD3	0.0811922593969658	-0.21101725
SRP68	0.0812296783684231	0.0296312
HNRNPH3	0.0815752461066949	-0.35273775
SRSF11	0.0815946413036427	-0.19437675
SDF2L1	0.0817226614277714	0.30839645
MKRN2	0.0820117968265388	-0.47524005
ELAVL1	0.0823324093425554	-0.24488675
API5	0.0830162127270583	-0.30286135
HSPA6	0.0831394291548522	-0.229161
RPS10	0.0835777065478765	-0.39865785
DNAJC9	0.0842128754770173	0.12566925
NNMT	0.0842912174420712	0.75271925
DNAJC3	0.0846352195975504	0.19472325
COPS2	0.0851817058745597	0.23868
PUS7	0.0855917358798626	-0.54865675
SPATS2	0.085870525596789	-0.32151535
FTSJ3	0.0858849238614534	-0.47159675
DRG2	0.0872083478640261	0.12963225
KHSRP	0.087396126975743	-0.22272005
SUPT4H1	0.0878767239295713	-0.38155225
CCT8	0.0883274921323981	0.13180175
RBM26	0.0883276771589956	-0.24922425
PBDC1	0.0890408048695696	0.31667215
TMCO1	0.089074828050014	0.36801275
TBCC	0.0902102991368849	-0.32179325
IGF2BP1	0.090262479647539	-0.39993175
NEDD4L	0.0907880608537228	0.3010777
SSBP1	0.0909783924290314	0.25367425
PSMA7	0.0922128422083616	0.0678411
TCEA1	0.0928113513829576	-0.44901425
FIP1L1	0.0930348677930942	-0.4290522
UBE4A	0.0936772908265029	0.16914675
SERPINB2	0.0956957962343992	0.12944825
SPPL2A	0.0964436714397983	0.12332885
WDR18	0.0966082560694788	-0.51742075
CMSS1	0.0979624049171318	0.19623175
SRSF7	0.0992214016705784	-0.24532525
UBA5	0.0997556708554701	0.2073787
THOC6	0.100609238775519	-0.1841583
RBBP7	0.101806695094095	-0.21108375
RRM1	0.102310391571679	-0.47234875
DHX57	0.102400323641212	-0.2534693
LSG1	0.103064942937218	-0.22249275
RPL8	0.103890205444968	-0.23196075
RRS1	0.104081516721183	-0.45292475
DDX39A	0.107218053284163	0.17981575
BZW2	0.107376738696081	-0.15756125
DDT	0.107747614691237	0.05290325
NPLOC4	0.108922293798196	0.17331625
ABT1	0.108941604497329	-0.58202075
PAK1IP1	0.108961378068295	-0.45862325
FASTKD2	0.109191335483377	-0.22849325
ILF3	0.109197198580758	-0.24334795
TMX2	0.109463487082713	0.21893975
COPS7A	0.1099196065833	0.21131525
NUMB	0.110049002366637	0.0831738
CCDC93	0.110087449627838	0.14073725
HSPA12A	0.110166619657317	-0.52373875
